,BRD Ref,BRD Type,SW Pos,StreamingIP,CH,Mantid_DetectorID_Start,Mantid_Detector_ID_Lenght,Comment
10,ADC10-S3,PC3544M4,SP10,192.168.2.143,1,,256,Tube: C1-PACK 2 Tube 4
10,ADC10-S3,PC3544M4,SP10,192.168.2.143,2,,256,Tube: C1-PACK 2 Tube 5
10,ADC10-S3,PC3544M4,SP10,192.168.2.143,3,,256,Tube: C1-PACK 2 Tube 6
10,ADC10-S3,PC3544M4,SP10,192.168.2.143,4,,256,Tube: C1-PACK 2 Tube 7
10,ADC10-S3,PC3544M4,SP10,192.168.2.143,5,,256,Tube: C1-PACK 2 Tube 8
11,ADC11-S0,PC3544M4,SP11,192.168.2.144,0,,256,Tube: C1-PACK 2 Tube 9
11,ADC11-S0,PC3544M4,SP11,192.168.2.144,1,,256,Tube: C1-PACK 2 Tube 10
11,ADC11-S0,PC3544M4,SP11,192.168.2.144,2,,256,Tube: C1-PACK 3 Tube 1
11,ADC11-S0,PC3544M4,SP11,192.168.2.144,3,,256,Tube: C1-PACK 3 Tube 2
11,ADC11-S0,PC3544M4,SP11,192.168.2.144,4,,256,Tube: C1-PACK 3 Tube 3
11,ADC11-S0,PC3544M4,SP11,192.168.2.144,5,,256,Tube: C1-PACK 3 Tube 4
11,ADC11-S1,PC3544M4,SP11,192.168.2.145,0,,256,Tube: C1-PACK 3 Tube 5
11,ADC11-S1,PC3544M4,SP11,192.168.2.145,1,,256,Tube: C1-PACK 3 Tube 6
11,ADC11-S1,PC3544M4,SP11,192.168.2.145,2,,256,Tube: C1-PACK 3 Tube 7
11,ADC11-S1,PC3544M4,SP11,192.168.2.145,3,,256,Tube: C1-PACK 3 Tube 8
11,ADC11-S1,PC3544M4,SP11,192.168.2.145,4,,256,Tube: C1-PACK 4 Tube 1
11,ADC11-S1,PC3544M4,SP11,192.168.2.145,5,,256,Tube: C1-PACK 4 Tube 2
11,ADC11-S2,PC3544M4,SP11,192.168.2.146,0,,256,Tube: C1-PACK 4 Tube 3
11,ADC11-S2,PC3544M4,SP11,192.168.2.146,1,,256,Tube: C1-PACK 4 Tube 4
11,ADC11-S2,PC3544M4,SP11,192.168.2.146,2,,256,Tube: C1-PACK 4 Tube 5
11,ADC11-S2,PC3544M4,SP11,192.168.2.146,3,,256,Tube: C1-PACK 4 Tube 6
11,ADC11-S2,PC3544M4,SP11,192.168.2.146,4,,256,Tube: C1-PACK 4 Tube 7
11,ADC11-S2,PC3544M4,SP11,192.168.2.146,5,,256,Tube: C1-PACK 4 Tube 8
11,ADC11-S3,PC3544M4,SP11,192.168.2.147,0,,256,Tube: C2-PACK 1 Tube 1
11,ADC11-S3,PC3544M4,SP11,192.168.2.147,1,,256,Tube: C2-PACK 1 Tube 2
11,ADC11-S3,PC3544M4,SP11,192.168.2.147,2,,256,Tube: C2-PACK 1 Tube 3
11,ADC11-S3,PC3544M4,SP11,192.168.2.147,3,,256,Tube: C2-PACK 1 Tube 4
11,ADC11-S3,PC3544M4,SP11,192.168.2.147,4,,256,Tube: C2-PACK 1 Tube 5
11,ADC11-S3,PC3544M4,SP11,192.168.2.147,5,,256,Tube: C2-PACK 1 Tube 6
12,ADC12-S0,PC3544M4,SP16,192.168.2.164,0,,256,Tube: C2-PACK 1 Tube 7
12,ADC12-S0,PC3544M4,SP16,192.168.2.164,1,,256,Tube: C2-PACK 1 Tube 8
12,ADC12-S0,PC3544M4,SP16,192.168.2.164,2,,256,Tube: C2-PACK 2 Tube 1
12,ADC12-S0,PC3544M4,SP16,192.168.2.164,3,,256,Tube: C2-PACK 2 Tube 2
12,ADC12-S0,PC3544M4,SP16,192.168.2.164,4,,256,Tube: C2-PACK 2 Tube 3
12,ADC12-S0,PC3544M4,SP16,192.168.2.164,5,,256,Tube: C2-PACK 2 Tube 4
12,ADC12-S1,PC3544M4,SP16,192.168.2.165,0,,256,Tube: C2-PACK 2 Tube 5
12,ADC12-S1,PC3544M4,SP16,192.168.2.165,1,,256,Tube: C2-PACK 2 Tube 6
12,ADC12-S1,PC3544M4,SP16,192.168.2.165,2,,256,Tube: C2-PACK 2 Tube 7
12,ADC12-S1,PC3544M4,SP16,192.168.2.165,3,,256,Tube: C2-PACK 2 Tube 8
12,ADC12-S1,PC3544M4,SP16,192.168.2.165,4,,256,Tube: C2-PACK 2 Tube 9
12,ADC12-S1,PC3544M4,SP16,192.168.2.165,5,,256,Tube: C2-PACK 2 Tube 10
12,ADC12-S2,PC3544M4,SP16,192.168.2.166,0,,256,Tube: C2-PACK 3 Tube 1
12,ADC12-S2,PC3544M4,SP16,192.168.2.166,1,,256,Tube: C2-PACK 3 Tube 2
12,ADC12-S2,PC3544M4,SP16,192.168.2.166,2,,256,Tube: C2-PACK 3 Tube 3
12,ADC12-S2,PC3544M4,SP16,192.168.2.166,3,,256,Tube: C2-PACK 3 Tube 4
12,ADC12-S2,PC3544M4,SP16,192.168.2.166,4,,256,Tube: C2-PACK 3 Tube 5
12,ADC12-S2,PC3544M4,SP16,192.168.2.166,5,,256,Tube: C2-PACK 3 Tube 6
12,ADC12-S3,PC3544M4,SP16,192.168.2.167,0,,256,Tube: C2-PACK 3 Tube 7
12,ADC12-S3,PC3544M4,SP16,192.168.2.167,1,,256,Tube: C2-PACK 3 Tube 8
12,ADC12-S3,PC3544M4,SP16,192.168.2.167,2,,256,Tube: C2-PACK 4 Tube 1
12,ADC12-S3,PC3544M4,SP16,192.168.2.167,3,,256,Tube: C2-PACK 4 Tube 2
12,ADC12-S3,PC3544M4,SP16,192.168.2.167,4,,256,Tube: C2-PACK 4 Tube 3
12,ADC12-S3,PC3544M4,SP16,192.168.2.167,5,,256,Tube: C2-PACK 4 Tube 4
13,ADC13-S0,PC3544M4,SP17,192.168.2.168,0,,256,Tube: C2-PACK 4 Tube 5
13,ADC13-S0,PC3544M4,SP17,192.168.2.168,1,,256,Tube: C2-PACK 4 Tube 6
13,ADC13-S0,PC3544M4,SP17,192.168.2.168,2,,256,Tube: C2-PACK 4 Tube 7
13,ADC13-S0,PC3544M4,SP17,192.168.2.168,3,,256,Tube: C2-PACK 4 Tube 8
13,ADC13-S0,PC3544M4,SP17,192.168.2.168,4,,256,Tube: C3-PACK 1 Tube 1
13,ADC13-S0,PC3544M4,SP17,192.168.2.168,5,,256,Tube: C3-PACK 1 Tube 2
13,ADC13-S1,PC3544M4,SP17,192.168.2.169,0,,256,Tube: C3-PACK 1 Tube 3
13,ADC13-S1,PC3544M4,SP17,192.168.2.169,1,,256,Tube: C3-PACK 1 Tube 4
13,ADC13-S1,PC3544M4,SP17,192.168.2.169,2,,256,Tube: C3-PACK 1 Tube 5
13,ADC13-S1,PC3544M4,SP17,192.168.2.169,3,,256,Tube: C3-PACK 1 Tube 6
13,ADC13-S1,PC3544M4,SP17,192.168.2.169,4,,256,Tube: C3-PACK 1 Tube 7
13,ADC13-S1,PC3544M4,SP17,192.168.2.169,5,,256,Tube: C3-PACK 1 Tube 8
13,ADC13-S2,PC3544M4,SP17,192.168.2.170,0,,256,Tube: C3-PACK 2 Tube 1
13,ADC13-S2,PC3544M4,SP17,192.168.2.170,1,,256,Tube: C3-PACK 2 Tube 2
13,ADC13-S2,PC3544M4,SP17,192.168.2.170,2,,256,Tube: C3-PACK 2 Tube 3
13,ADC13-S2,PC3544M4,SP17,192.168.2.170,3,,256,Tube: C3-PACK 2 Tube 4
13,ADC13-S2,PC3544M4,SP17,192.168.2.170,4,,256,Tube: C3-PACK 2 Tube 5
13,ADC13-S2,PC3544M4,SP17,192.168.2.170,5,,256,Tube: C3-PACK 2 Tube 6
13,ADC13-S3,PC3544M4,SP17,192.168.2.171,0,,256,Tube: C3-PACK 2 Tube 7
13,ADC13-S3,PC3544M4,SP17,192.168.2.171,1,,256,Tube: C3-PACK 2 Tube 8
13,ADC13-S3,PC3544M4,SP17,192.168.2.171,2,,256,Tube: C3-PACK 2 Tube 9
13,ADC13-S3,PC3544M4,SP17,192.168.2.171,3,,256,Tube: C3-PACK 2 Tube 10
13,ADC13-S3,PC3544M4,SP17,192.168.2.171,4,,256,Tube: C3-PACK 3 Tube 1
13,ADC13-S3,PC3544M4,SP17,192.168.2.171,5,,256,Tube: C3-PACK 3 Tube 2
14,ADC14-S0,PC3544M4,SP18,192.168.2.172,0,,256,Tube: C3-PACK 3 Tube 3
14,ADC14-S0,PC3544M4,SP18,192.168.2.172,1,,256,Tube: C3-PACK 3 Tube 4
14,ADC14-S0,PC3544M4,SP18,192.168.2.172,2,,256,Tube: C3-PACK 3 Tube 5
14,ADC14-S0,PC3544M4,SP18,192.168.2.172,3,,256,Tube: C3-PACK 3 Tube 6
14,ADC14-S0,PC3544M4,SP18,192.168.2.172,4,,256,Tube: C3-PACK 3 Tube 7
14,ADC14-S0,PC3544M4,SP18,192.168.2.172,5,,256,Tube: C3-PACK 3 Tube 8
14,ADC14-S1,PC3544M4,SP18,192.168.2.173,0,,256,Tube: C3-PACK 4 Tube 1
14,ADC14-S1,PC3544M4,SP18,192.168.2.173,1,,256,Tube: C3-PACK 4 Tube 2
14,ADC14-S1,PC3544M4,SP18,192.168.2.173,2,,256,Tube: C3-PACK 4 Tube 3
14,ADC14-S1,PC3544M4,SP18,192.168.2.173,3,,256,Tube: C3-PACK 4 Tube 4
14,ADC14-S1,PC3544M4,SP18,192.168.2.173,4,,256,Tube: C3-PACK 4 Tube 5
14,ADC14-S1,PC3544M4,SP18,192.168.2.173,5,,256,Tube: C3-PACK 4 Tube 6
14,ADC14-S2,PC3544M4,SP18,192.168.2.174,0,,256,Tube: C3-PACK 4 Tube 7
14,ADC14-S2,PC3544M4,SP18,192.168.2.174,1,,256,Tube: C3-PACK 4 Tube 8
14,ADC14-S2,PC3544M4,SP18,192.168.2.174,2,,256,Tube: C4-PACK 1 Tube 1
14,ADC14-S2,PC3544M4,SP18,192.168.2.174,3,,256,Tube: C4-PACK 1 Tube 2
14,ADC14-S2,PC3544M4,SP18,192.168.2.174,4,,256,Tube: C4-PACK 1 Tube 3
14,ADC14-S2,PC3544M4,SP18,192.168.2.174,5,,256,Tube: C4-PACK 1 Tube 4
14,ADC14-S3,PC3544M4,SP18,192.168.2.175,0,,256,Tube: C4-PACK 1 Tube 5
14,ADC14-S3,PC3544M4,SP18,192.168.2.175,1,,256,Tube: C4-PACK 1 Tube 6
14,ADC14-S3,PC3544M4,SP18,192.168.2.175,2,,256,Tube: C4-PACK 1 Tube 7
14,ADC14-S3,PC3544M4,SP18,192.168.2.175,3,,256,Tube: C4-PACK 1 Tube 8
14,ADC14-S3,PC3544M4,SP18,192.168.2.175,4,,256,Tube: C4-PACK 2 Tube 1
14,ADC14-S3,PC3544M4,SP18,192.168.2.175,5,,256,Tube: C4-PACK 2 Tube 2
15,ADC15-S0,PC3544M4,SP19,192.168.2.176,0,,256,Tube: C4-PACK 2 Tube 3
15,ADC15-S0,PC3544M4,SP19,192.168.2.176,1,,256,Tube: C4-PACK 2 Tube 4
15,ADC15-S0,PC3544M4,SP19,192.168.2.176,2,,256,Tube: C4-PACK 2 Tube 5
15,ADC15-S0,PC3544M4,SP19,192.168.2.176,3,,256,Tube: C4-PACK 2 Tube 6
15,ADC15-S0,PC3544M4,SP19,192.168.2.176,4,,256,Tube: C4-PACK 2 Tube 7
15,ADC15-S0,PC3544M4,SP19,192.168.2.176,5,,256,Tube: C4-PACK 2 Tube 8
15,ADC15-S1,PC3544M4,SP19,192.168.2.177,0,,256,Tube: C4-PACK 2 Tube 9
15,ADC15-S1,PC3544M4,SP19,192.168.2.177,1,,256,Tube: C4-PACK 2 Tube 10
15,ADC15-S1,PC3544M4,SP19,192.168.2.177,2,,256,Tube: C4-PACK 3 Tube 1
15,ADC15-S1,PC3544M4,SP19,192.168.2.177,3,,256,Tube: C4-PACK 3 Tube 2
15,ADC15-S1,PC3544M4,SP19,192.168.2.177,4,,256,Tube: C4-PACK 3 Tube 3
15,ADC15-S1,PC3544M4,SP19,192.168.2.177,5,,256,Tube: C4-PACK 3 Tube 4
15,ADC15-S2,PC3544M4,SP19,192.168.2.178,0,,256,Tube: C4-PACK 3 Tube 5
15,ADC15-S2,PC3544M4,SP19,192.168.2.178,1,,256,Tube: C4-PACK 3 Tube 6
15,ADC15-S2,PC3544M4,SP19,192.168.2.178,2,,256,Tube: C4-PACK 3 Tube 7
15,ADC15-S2,PC3544M4,SP19,192.168.2.178,3,,256,Tube: C4-PACK 3 Tube 8
15,ADC15-S2,PC3544M4,SP19,192.168.2.178,4,,256,Tube: C4-PACK 4 Tube 1
15,ADC15-S2,PC3544M4,SP19,192.168.2.178,5,,256,Tube: C4-PACK 4 Tube 2
15,ADC15-S3,PC3544M4,SP19,192.168.2.179,0,,256,Tube: C4-PACK 4 Tube 3
15,ADC15-S3,PC3544M4,SP19,192.168.2.179,1,,256,Tube: C4-PACK 4 Tube 4
15,ADC15-S3,PC3544M4,SP19,192.168.2.179,2,,256,Tube: C4-PACK 4 Tube 5
15,ADC15-S3,PC3544M4,SP19,192.168.2.179,3,,256,Tube: C4-PACK 4 Tube 6
15,ADC15-S3,PC3544M4,SP19,192.168.2.179,4,,256,Tube: C4-PACK 4 Tube 7
15,ADC15-S3,PC3544M4,SP19,192.168.2.179,5,,256,Tube: C4-PACK 4 Tube 8
16,ADC16-S0,PC3544M4,SP20,192.168.2.180,0,,256,Tube: D1-PACK 1 Tube 1
16,ADC16-S0,PC3544M4,SP20,192.168.2.180,1,,256,Tube: D1-PACK 1 Tube 2
16,ADC16-S0,PC3544M4,SP20,192.168.2.180,2,,256,Tube: D1-PACK 1 Tube 3
16,ADC16-S0,PC3544M4,SP20,192.168.2.180,3,,256,Tube: D1-PACK 1 Tube 4
16,ADC16-S0,PC3544M4,SP20,192.168.2.180,4,,256,Tube: D1-PACK 1 Tube 5
16,ADC16-S0,PC3544M4,SP20,192.168.2.180,5,,256,Tube: D1-PACK 1 Tube 6
16,ADC16-S1,PC3544M4,SP20,192.168.2.181,0,,256,Tube: D1-PACK 1 Tube 7
16,ADC16-S1,PC3544M4,SP20,192.168.2.181,1,,256,Tube: D1-PACK 1 Tube 8
16,ADC16-S1,PC3544M4,SP20,192.168.2.181,2,,256,Tube: D1-PACK 2 Tube 1
16,ADC16-S1,PC3544M4,SP20,192.168.2.181,3,,256,Tube: D1-PACK 2 Tube 2
16,ADC16-S1,PC3544M4,SP20,192.168.2.181,4,,256,Tube: D1-PACK 2 Tube 3
16,ADC16-S1,PC3544M4,SP20,192.168.2.181,5,,256,Tube: D1-PACK 2 Tube 4
16,ADC16-S2,PC3544M4,SP20,192.168.2.182,0,,256,Tube: D1-PACK 2 Tube 5
16,ADC16-S2,PC3544M4,SP20,192.168.2.182,1,,256,Tube: D1-PACK 2 Tube 6
16,ADC16-S2,PC3544M4,SP20,192.168.2.182,2,,256,Tube: D1-PACK 2 Tube 7
16,ADC16-S2,PC3544M4,SP20,192.168.2.182,3,,256,Tube: D1-PACK 2 Tube 8
16,ADC16-S2,PC3544M4,SP20,192.168.2.182,4,,256,Tube: D1-PACK 3 Tube 1
16,ADC16-S2,PC3544M4,SP20,192.168.2.182,5,,256,Tube: D1-PACK 3 Tube 2
16,ADC16-S3,PC3544M4,SP20,192.168.2.183,0,,256,Tube: D1-PACK 3 Tube 3
16,ADC16-S3,PC3544M4,SP20,192.168.2.183,1,,256,Tube: D1-PACK 3 Tube 4
16,ADC16-S3,PC3544M4,SP20,192.168.2.183,2,,256,Tube: D1-PACK 3 Tube 5
16,ADC16-S3,PC3544M4,SP20,192.168.2.183,3,,256,Tube: D1-PACK 3 Tube 6
16,ADC16-S3,PC3544M4,SP20,192.168.2.183,4,,256,Tube: D1-PACK 3 Tube 7
16,ADC16-S3,PC3544M4,SP20,192.168.2.183,5,,256,Tube: D1-PACK 3 Tube 8
17,ADC17-S0,PC3544M4,SP21,192.168.2.184,0,,256,Tube: D1-PACK 4 Tube 1
17,ADC17-S0,PC3544M4,SP21,192.168.2.184,1,,256,Tube: D1-PACK 4 Tube 2
17,ADC17-S0,PC3544M4,SP21,192.168.2.184,2,,256,Tube: D1-PACK 4 Tube 3
17,ADC17-S0,PC3544M4,SP21,192.168.2.184,3,,256,Tube: D1-PACK 4 Tube 4
17,ADC17-S0,PC3544M4,SP21,192.168.2.184,4,,256,Tube: D1-PACK 4 Tube 5
17,ADC17-S0,PC3544M4,SP21,192.168.2.184,5,,256,Tube: D1-PACK 4 Tube 6
17,ADC17-S1,PC3544M4,SP21,192.168.2.185,0,,256,Tube: D1-PACK 4 Tube 7
17,ADC17-S1,PC3544M4,SP21,192.168.2.185,1,,256,Tube: D1-PACK 4 Tube 8
17,ADC17-S1,PC3544M4,SP21,192.168.2.185,2,,256,Tube: D1-PACK 5 Tube 1
17,ADC17-S1,PC3544M4,SP21,192.168.2.185,3,,256,Tube: D1-PACK 5 Tube 2
17,ADC17-S1,PC3544M4,SP21,192.168.2.185,4,,256,Tube: D1-PACK 5 Tube 3
17,ADC17-S1,PC3544M4,SP21,192.168.2.185,5,,256,Tube: D1-PACK 5 Tube 4
17,ADC17-S2,PC3544M4,SP21,192.168.2.186,0,,256,Tube: D1-PACK 5 Tube 5
17,ADC17-S2,PC3544M4,SP21,192.168.2.186,1,,256,Tube: D1-PACK 5 Tube 6
17,ADC17-S2,PC3544M4,SP21,192.168.2.186,2,,256,Tube: D1-PACK 5 Tube 7
17,ADC17-S2,PC3544M4,SP21,192.168.2.186,3,,256,Tube: D1-PACK 5 Tube 8
17,ADC17-S2,PC3544M4,SP21,192.168.2.186,4,,256,Tube: D1-PACK 6 Tube 1
17,ADC17-S2,PC3544M4,SP21,192.168.2.186,5,,256,Tube: D1-PACK 6 Tube 2
17,ADC17-S3,PC3544M4,SP21,192.168.2.187,0,,256,Tube: D1-PACK 6 Tube 3
17,ADC17-S3,PC3544M4,SP21,192.168.2.187,1,,256,Tube: D1-PACK 6 Tube 4
17,ADC17-S3,PC3544M4,SP21,192.168.2.187,2,,256,Tube: D1-PACK 6 Tube 5
17,ADC17-S3,PC3544M4,SP21,192.168.2.187,3,,256,Tube: D1-PACK 6 Tube 6
17,ADC17-S3,PC3544M4,SP21,192.168.2.187,4,,256,Tube: D1-PACK 6 Tube 7
17,ADC17-S3,PC3544M4,SP21,192.168.2.187,5,,256,Tube: D1-PACK 6 Tube 8
18,ADC18-S0,PC3544M4,SP22,192.168.2.188,0,,256,Tube: D2-PACK 1 Tube 1
18,ADC18-S0,PC3544M4,SP22,192.168.2.188,1,,256,Tube: D2-PACK 1 Tube 2
18,ADC18-S0,PC3544M4,SP22,192.168.2.188,2,,256,Tube: D2-PACK 1 Tube 3
18,ADC18-S0,PC3544M4,SP22,192.168.2.188,3,,256,Tube: D2-PACK 1 Tube 4
18,ADC18-S0,PC3544M4,SP22,192.168.2.188,4,,256,Tube: D2-PACK 1 Tube 5
18,ADC18-S0,PC3544M4,SP22,192.168.2.188,5,,256,Tube: D2-PACK 1 Tube 6
18,ADC18-S1,PC3544M4,SP22,192.168.2.189,0,,256,Tube: D2-PACK 1 Tube 7
18,ADC18-S1,PC3544M4,SP22,192.168.2.189,1,,256,Tube: D2-PACK 1 Tube 8
18,ADC18-S1,PC3544M4,SP22,192.168.2.189,2,,256,Tube: D2-PACK 2 Tube 1
18,ADC18-S1,PC3544M4,SP22,192.168.2.189,3,,256,Tube: D2-PACK 2 Tube 2
18,ADC18-S1,PC3544M4,SP22,192.168.2.189,4,,256,Tube: D2-PACK 2 Tube 3
18,ADC18-S1,PC3544M4,SP22,192.168.2.189,5,,256,Tube: D2-PACK 2 Tube 4
18,ADC18-S2,PC3544M4,SP22,192.168.2.190,0,,256,Tube: D2-PACK 2 Tube 5
18,ADC18-S2,PC3544M4,SP22,192.168.2.190,1,,256,Tube: D2-PACK 2 Tube 6
18,ADC18-S2,PC3544M4,SP22,192.168.2.190,2,,256,Tube: D2-PACK 2 Tube 7
18,ADC18-S2,PC3544M4,SP22,192.168.2.190,3,,256,Tube: D2-PACK 2 Tube 8
18,ADC18-S2,PC3544M4,SP22,192.168.2.190,4,,256,Tube: D2-PACK 3 Tube 1
18,ADC18-S2,PC3544M4,SP22,192.168.2.190,5,,256,Tube: D2-PACK 3 Tube 2
18,ADC18-S3,PC3544M4,SP22,192.168.2.191,0,,256,Tube: D2-PACK 3 Tube 3
18,ADC18-S3,PC3544M4,SP22,192.168.2.191,1,,256,Tube: D2-PACK 3 Tube 4
18,ADC18-S3,PC3544M4,SP22,192.168.2.191,2,,256,Tube: D2-PACK 3 Tube 5
18,ADC18-S3,PC3544M4,SP22,192.168.2.191,3,,256,Tube: D2-PACK 3 Tube 6
18,ADC18-S3,PC3544M4,SP22,192.168.2.191,4,,256,Tube: D2-PACK 3 Tube 7
18,ADC18-S3,PC3544M4,SP22,192.168.2.191,5,,256,Tube: D2-PACK 3 Tube 8
19,ADC19-S0,PC3544M4,SP23,192.168.2.192,0,,256,Tube: D2-PACK 4 Tube 1
19,ADC19-S0,PC3544M4,SP23,192.168.2.192,1,,256,Tube: D2-PACK 4 Tube 2
19,ADC19-S0,PC3544M4,SP23,192.168.2.192,2,,256,Tube: D2-PACK 4 Tube 3
19,ADC19-S0,PC3544M4,SP23,192.168.2.192,3,,256,Tube: D2-PACK 4 Tube 4
19,ADC19-S0,PC3544M4,SP23,192.168.2.192,4,,256,Tube: D2-PACK 4 Tube 5
19,ADC19-S0,PC3544M4,SP23,192.168.2.192,5,,256,Tube: D2-PACK 4 Tube 6
19,ADC19-S1,PC3544M4,SP23,192.168.2.193,0,,256,Tube: D2-PACK 4 Tube 7
19,ADC19-S1,PC3544M4,SP23,192.168.2.193,1,,256,Tube: D2-PACK 4 Tube 8
19,ADC19-S1,PC3544M4,SP23,192.168.2.193,2,,256,Tube: D2-PACK 5 Tube 1
19,ADC19-S1,PC3544M4,SP23,192.168.2.193,3,,256,Tube: D2-PACK 5 Tube 2
19,ADC19-S1,PC3544M4,SP23,192.168.2.193,4,,256,Tube: D2-PACK 5 Tube 3
19,ADC19-S1,PC3544M4,SP23,192.168.2.193,5,,256,Tube: D2-PACK 5 Tube 4
19,ADC19-S2,PC3544M4,SP23,192.168.2.194,0,,256,Tube: D2-PACK 5 Tube 5
19,ADC19-S2,PC3544M4,SP23,192.168.2.194,1,,256,Tube: D2-PACK 5 Tube 6
19,ADC19-S2,PC3544M4,SP23,192.168.2.194,2,,256,Tube: D2-PACK 5 Tube 7
19,ADC19-S2,PC3544M4,SP23,192.168.2.194,3,,256,Tube: D2-PACK 5 Tube 8
19,ADC19-S2,PC3544M4,SP23,192.168.2.194,4,,256,Tube: D2-PACK 6 Tube 1
19,ADC19-S2,PC3544M4,SP23,192.168.2.194,5,,256,Tube: D2-PACK 6 Tube 2
19,ADC19-S3,PC3544M4,SP23,192.168.2.195,0,,256,Tube: D2-PACK 6 Tube 3
19,ADC19-S3,PC3544M4,SP23,192.168.2.195,1,,256,Tube: D2-PACK 6 Tube 4
19,ADC19-S3,PC3544M4,SP23,192.168.2.195,2,,256,Tube: D2-PACK 6 Tube 5
19,ADC19-S3,PC3544M4,SP23,192.168.2.195,3,,256,Tube: D2-PACK 6 Tube 6
19,ADC19-S3,PC3544M4,SP23,192.168.2.195,4,,256,Tube: D2-PACK 6 Tube 7
19,ADC19-S3,PC3544M4,SP23,192.168.2.195,5,,256,Tube: D2-PACK 6 Tube 8
20,ADC20-S0,PC3544M4,SP24,192.168.2.196,0,,256,Tube: D3-PACK 1 Tube 1
20,ADC20-S0,PC3544M4,SP24,192.168.2.196,1,,256,Tube: D3-PACK 1 Tube 2
20,ADC20-S0,PC3544M4,SP24,192.168.2.196,2,,256,Tube: D3-PACK 1 Tube 3
20,ADC20-S0,PC3544M4,SP24,192.168.2.196,3,,256,Tube: D3-PACK 1 Tube 4
20,ADC20-S0,PC3544M4,SP24,192.168.2.196,4,,256,Tube: D3-PACK 1 Tube 5
20,ADC20-S0,PC3544M4,SP24,192.168.2.196,5,,256,Tube: D3-PACK 1 Tube 6
20,ADC20-S1,PC3544M4,SP24,192.168.2.197,0,,256,Tube: D3-PACK 1 Tube 7
20,ADC20-S1,PC3544M4,SP24,192.168.2.197,1,,256,Tube: D3-PACK 1 Tube 8
20,ADC20-S1,PC3544M4,SP24,192.168.2.197,2,,256,Tube: D3-PACK 2 Tube 1
20,ADC20-S1,PC3544M4,SP24,192.168.2.197,3,,256,Tube: D3-PACK 2 Tube 2
20,ADC20-S1,PC3544M4,SP24,192.168.2.197,4,,256,Tube: D3-PACK 2 Tube 3
20,ADC20-S1,PC3544M4,SP24,192.168.2.197,5,,256,Tube: D3-PACK 2 Tube 4
20,ADC20-S2,PC3544M4,SP24,192.168.2.198,0,,256,Tube: D3-PACK 2 Tube 5
20,ADC20-S2,PC3544M4,SP24,192.168.2.198,1,,256,Tube: D3-PACK 2 Tube 6
20,ADC20-S2,PC3544M4,SP24,192.168.2.198,2,,256,Tube: D3-PACK 2 Tube 7
20,ADC20-S2,PC3544M4,SP24,192.168.2.198,3,,256,Tube: D3-PACK 2 Tube 8
20,ADC20-S2,PC3544M4,SP24,192.168.2.198,4,,256,Tube: D3-PACK 3 Tube 1
20,ADC20-S2,PC3544M4,SP24,192.168.2.198,5,,256,Tube: D3-PACK 3 Tube 2
20,ADC20-S3,PC3544M4,SP24,192.168.2.199,0,,256,Tube: D3-PACK 3 Tube 3
20,ADC20-S3,PC3544M4,SP24,192.168.2.199,1,,256,Tube: D3-PACK 3 Tube 4
20,ADC20-S3,PC3544M4,SP24,192.168.2.199,2,,256,Tube: D3-PACK 3 Tube 5
20,ADC20-S3,PC3544M4,SP24,192.168.2.199,3,,256,Tube: D3-PACK 3 Tube 6
20,ADC20-S3,PC3544M4,SP24,192.168.2.199,4,,256,Tube: D3-PACK 3 Tube 7
20,ADC20-S3,PC3544M4,SP24,192.168.2.199,5,,256,Tube: D3-PACK 3 Tube 8
21,ADC21-S0,PC3544M4,SP25,192.168.2.200,0,,256,Tube: D3-PACK 4 Tube 1
21,ADC21-S0,PC3544M4,SP25,192.168.2.200,1,,256,Tube: D3-PACK 4 Tube 2
21,ADC21-S0,PC3544M4,SP25,192.168.2.200,2,,256,Tube: D3-PACK 4 Tube 3
21,ADC21-S0,PC3544M4,SP25,192.168.2.200,3,,256,Tube: D3-PACK 4 Tube 4
21,ADC21-S0,PC3544M4,SP25,192.168.2.200,4,,256,Tube: D3-PACK 4 Tube 5
21,ADC21-S0,PC3544M4,SP25,192.168.2.200,5,,256,Tube: D3-PACK 4 Tube 6
21,ADC21-S1,PC3544M4,SP25,192.168.2.201,0,,256,Tube: D3-PACK 4 Tube 7
21,ADC21-S1,PC3544M4,SP25,192.168.2.201,1,,256,Tube: D3-PACK 4 Tube 8
21,ADC21-S1,PC3544M4,SP25,192.168.2.201,2,,256,Tube: D3-PACK 5 Tube 1
21,ADC21-S1,PC3544M4,SP25,192.168.2.201,3,,256,Tube: D3-PACK 5 Tube 2
21,ADC21-S1,PC3544M4,SP25,192.168.2.201,4,,256,Tube: D3-PACK 5 Tube 3
21,ADC21-S1,PC3544M4,SP25,192.168.2.201,5,,256,Tube: D3-PACK 5 Tube 4
21,ADC21-S2,PC3544M4,SP25,192.168.2.202,0,,256,Tube: D3-PACK 5 Tube 5
21,ADC21-S2,PC3544M4,SP25,192.168.2.202,1,,256,Tube: D3-PACK 5 Tube 6
21,ADC21-S2,PC3544M4,SP25,192.168.2.202,2,,256,Tube: D3-PACK 5 Tube 7
21,ADC21-S2,PC3544M4,SP25,192.168.2.202,3,,256,Tube: D3-PACK 5 Tube 8
21,ADC21-S2,PC3544M4,SP25,192.168.2.202,4,,256,Tube: D3-PACK 6 Tube 1
