,BRD Ref,BRD Type,SW Pos,StreamingIP,CH,Mantid_DetectorID_Start,Mantid_Detector_ID_Lenght,Comment
2,ADC2-S0,PC3544M4,SP2,192.168.2.108,3,,256,Tube: A1-PACK 7 Tube 4
2,ADC2-S0,PC3544M4,SP2,192.168.2.108,4,,256,Tube: A1-PACK 7 Tube 5
2,ADC2-S0,PC3544M4,SP2,192.168.2.108,5,,256,Tube: A1-PACK 7 Tube 6
2,ADC2-S1,PC3544M4,SP2,192.168.2.109,0,,256,Tube: A1-PACK 7 Tube 7
2,ADC2-S1,PC3544M4,SP2,192.168.2.109,1,,256,Tube: A1-PACK 7 Tube 8
2,ADC2-S1,PC3544M4,SP2,192.168.2.109,2,,256,Tube: A1-PACK 8 Tube 1
2,ADC2-S1,PC3544M4,SP2,192.168.2.109,3,,256,Tube: A1-PACK 8 Tube 5
2,ADC2-S1,PC3544M4,SP2,192.168.2.109,4,,256,Tube: A1-PACK 8 Tube 3
2,ADC2-S1,PC3544M4,SP2,192.168.2.109,5,,256,Tube: A1-PACK 8 Tube 4
2,ADC2-S2,PC3544M4,SP2,192.168.2.110,0,,256,Tube: A1-PACK 8 Tube 5
2,ADC2-S2,PC3544M4,SP2,192.168.2.110,1,,256,Tube: A1-PACK 8 Tube 6
2,ADC2-S2,PC3544M4,SP2,192.168.2.110,2,,256,Tube: A1-PACK 8 Tube 7
2,ADC2-S2,PC3544M4,SP2,192.168.2.110,3,,256,Tube: A1-PACK 8 Tube 8
2,ADC2-S2,PC3544M4,SP2,192.168.2.110,4,,256,Tube: A2-PACK 1 Tube 1
2,ADC2-S2,PC3544M4,SP2,192.168.2.110,5,,256,Tube: A2-PACK 1 Tube 2
2,ADC2-S3,PC3544M4,SP2,192.168.2.111,0,,256,Tube: A2-PACK 1 Tube 3
2,ADC2-S3,PC3544M4,SP2,192.168.2.111,1,,256,Tube: A2-PACK 1 Tube 4
2,ADC2-S3,PC3544M4,SP2,192.168.2.111,2,,256,Tube: A2-PACK 1 Tube 5
2,ADC2-S3,PC3544M4,SP2,192.168.2.111,3,,256,Tube: A2-PACK 1 Tube 6
2,ADC2-S3,PC3544M4,SP2,192.168.2.111,4,,256,Tube: A2-PACK 1 Tube 7
2,ADC2-S3,PC3544M4,SP2,192.168.2.111,5,,256,Tube: A2-PACK 1 Tube 8
3,ADC3-S0,PC3544M4,SP3,192.168.2.112,0,,256,Tube: A2-PACK 2 Tube 1
3,ADC3-S0,PC3544M4,SP3,192.168.2.112,1,,256,Tube: A2-PACK 2 Tube 2
3,ADC3-S0,PC3544M4,SP3,192.168.2.112,2,,256,Tube: A2-PACK 2 Tube 3
3,ADC3-S0,PC3544M4,SP3,192.168.2.112,3,,256,Tube: A2-PACK 2 Tube 4
3,ADC3-S0,PC3544M4,SP3,192.168.2.112,4,,256,Tube: A2-PACK 2 Tube 5
3,ADC3-S0,PC3544M4,SP3,192.168.2.112,5,,256,Tube: A2-PACK 2 Tube 6
3,ADC3-S1,PC3544M4,SP3,192.168.2.113,0,,256,Tube: A2-PACK 2 Tube 7
3,ADC3-S1,PC3544M4,SP3,192.168.2.113,1,,256,Tube: A2-PACK 2 Tube 8
3,ADC3-S1,PC3544M4,SP3,192.168.2.113,2,,256,Tube: A2-PACK 3 Tube 1
3,ADC3-S1,PC3544M4,SP3,192.168.2.113,3,,256,Tube: A2-PACK 3 Tube 2
3,ADC3-S1,PC3544M4,SP3,192.168.2.113,4,,256,Tube: A2-PACK 3 Tube 3
3,ADC3-S1,PC3544M4,SP3,192.168.2.113,5,,256,Tube: A2-PACK 3 Tube 4
3,ADC3-S2,PC3544M4,SP3,192.168.2.114,0,,256,Tube: A2-PACK 3 Tube 5
3,ADC3-S2,PC3544M4,SP3,192.168.2.114,1,,256,Tube: A2-PACK 3 Tube 6
3,ADC3-S2,PC3544M4,SP3,192.168.2.114,2,,256,Tube: A2-PACK 3 Tube 7
3,ADC3-S2,PC3544M4,SP3,192.168.2.114,3,,256,Tube: A2-PACK 3 Tube 8
3,ADC3-S2,PC3544M4,SP3,192.168.2.114,4,,256,Tube: A2-PACK 4 Tube 1
3,ADC3-S2,PC3544M4,SP3,192.168.2.114,5,,256,Tube: A2-PACK 4 Tube 2
3,ADC3-S3,PC3544M4,SP3,192.168.2.115,0,,256,Tube: A2-PACK 4 Tube 3
3,ADC3-S3,PC3544M4,SP3,192.168.2.115,1,,256,Tube: A2-PACK 4 Tube 4
3,ADC3-S3,PC3544M4,SP3,192.168.2.115,2,,256,Tube: A2-PACK 4 Tube 5
3,ADC3-S3,PC3544M4,SP3,192.168.2.115,3,,256,Tube: A2-PACK 4 Tube 6
3,ADC3-S3,PC3544M4,SP3,192.168.2.115,4,,256,Tube: A2-PACK 4 Tube 7
3,ADC3-S3,PC3544M4,SP3,192.168.2.115,5,,256,Tube: A2-PACK 4 Tube 8
4,ADC4-S0,PC3544M4,SP4,192.168.2.116,0,,256,Tube: A2-PACK 5 Tube 1
4,ADC4-S0,PC3544M4,SP4,192.168.2.116,1,,256,Tube: A2-PACK 5 Tube 5
4,ADC4-S0,PC3544M4,SP4,192.168.2.116,2,,256,Tube: A2-PACK 5 Tube 3
4,ADC4-S0,PC3544M4,SP4,192.168.2.116,3,,256,Tube: A2-PACK 5 Tube 4
4,ADC4-S0,PC3544M4,SP4,192.168.2.116,4,,256,Tube: A2-PACK 5 Tube 5
4,ADC4-S0,PC3544M4,SP4,192.168.2.116,5,,256,Tube: A2-PACK 5 Tube 6
4,ADC4-S1,PC3544M4,SP4,192.168.2.117,0,,256,Tube: A2-PACK 5 Tube 7
4,ADC4-S1,PC3544M4,SP4,192.168.2.117,1,,256,Tube: A2-PACK 5 Tube 8
4,ADC4-S1,PC3544M4,SP4,192.168.2.117,2,,256,Tube: A2-PACK 6 Tube 1
4,ADC4-S1,PC3544M4,SP4,192.168.2.117,3,,256,Tube: A2-PACK 6 Tube 2
4,ADC4-S1,PC3544M4,SP4,192.168.2.117,4,,256,Tube: A2-PACK 6 Tube 3
4,ADC4-S1,PC3544M4,SP4,192.168.2.117,5,,256,Tube: A2-PACK 6 Tube 4
4,ADC4-S2,PC3544M4,SP4,192.168.2.118,0,,256,Tube: A2-PACK 6 Tube 5
4,ADC4-S2,PC3544M4,SP4,192.168.2.118,1,,256,Tube: A2-PACK 6 Tube 6
4,ADC4-S2,PC3544M4,SP4,192.168.2.118,2,,256,Tube: A2-PACK 6 Tube 7
4,ADC4-S2,PC3544M4,SP4,192.168.2.118,3,,256,Tube: A2-PACK 6 Tube 8
4,ADC4-S2,PC3544M4,SP4,192.168.2.118,4,,256,Tube: A2-PACK 7 Tube 1
4,ADC4-S2,PC3544M4,SP4,192.168.2.118,5,,256,Tube: A2-PACK 7 Tube 2
4,ADC4-S3,PC3544M4,SP4,192.168.2.119,0,,256,Tube: A2-PACK 7 Tube 3
4,ADC4-S3,PC3544M4,SP4,192.168.2.119,1,,256,Tube: A2-PACK 7 Tube 4
4,ADC4-S3,PC3544M4,SP4,192.168.2.119,2,,256,Tube: A2-PACK 7 Tube 5
4,ADC4-S3,PC3544M4,SP4,192.168.2.119,3,,256,Tube: A2-PACK 7 Tube 6
4,ADC4-S3,PC3544M4,SP4,192.168.2.119,4,,256,Tube: A2-PACK 7 Tube 7
4,ADC4-S3,PC3544M4,SP4,192.168.2.119,5,,256,Tube: A2-PACK 7 Tube 8
5,ADC5-S0,PC3544M4,SP5,192.168.2.120,0,,256,Tube: A2-PACK 8 Tube 1
5,ADC5-S0,PC3544M4,SP5,192.168.2.120,1,,256,Tube: A2-PACK 8 Tube 5
5,ADC5-S0,PC3544M4,SP5,192.168.2.120,2,,256,Tube: A2-PACK 8 Tube 3
5,ADC5-S0,PC3544M4,SP5,192.168.2.120,3,,256,Tube: A2-PACK 8 Tube 4
5,ADC5-S0,PC3544M4,SP5,192.168.2.120,4,,256,Tube: A2-PACK 8 Tube 5
5,ADC5-S0,PC3544M4,SP5,192.168.2.120,5,,256,Tube: A2-PACK 8 Tube 6
5,ADC5-S1,PC3544M4,SP5,192.168.2.121,0,,256,Tube: A2-PACK 8 Tube 7
5,ADC5-S1,PC3544M4,SP5,192.168.2.121,1,,256,Tube: A2-PACK 8 Tube 8
5,ADC5-S1,PC3544M4,SP5,192.168.2.121,2,,256,Tube: E1-PACK 1 Tube 1
5,ADC5-S1,PC3544M4,SP5,192.168.2.121,3,,256,Tube: E1-PACK 1 Tube 2
5,ADC5-S1,PC3544M4,SP5,192.168.2.121,4,,256,Tube: E1-PACK 1 Tube 3
5,ADC5-S1,PC3544M4,SP5,192.168.2.121,5,,256,Tube: E1-PACK 1 Tube 4
5,ADC5-S2,PC3544M4,SP5,192.168.2.122,0,,256,Tube: E1-PACK 1 Tube 5
5,ADC5-S2,PC3544M4,SP5,192.168.2.122,1,,256,Tube: E1-PACK 1 Tube 6
5,ADC5-S2,PC3544M4,SP5,192.168.2.122,2,,256,Tube: E1-PACK 1 Tube 7
5,ADC5-S2,PC3544M4,SP5,192.168.2.122,3,,256,Tube: E1-PACK 1 Tube 8
5,ADC5-S2,PC3544M4,SP5,192.168.2.122,4,,256,Tube: E2-PACK 2 Tube 1
5,ADC5-S2,PC3544M4,SP5,192.168.2.122,5,,256,Tube: E2-PACK 2 Tube 2
5,ADC5-S3,PC3544M4,SP5,192.168.2.123,0,,256,Tube: E2-PACK 2 Tube 3
5,ADC5-S3,PC3544M4,SP5,192.168.2.123,1,,256,Tube: E2-PACK 2 Tube 4
5,ADC5-S3,PC3544M4,SP5,192.168.2.123,2,,256,Tube: E2-PACK 2 Tube 5
5,ADC5-S3,PC3544M4,SP5,192.168.2.123,3,,256,Tube: E2-PACK 2 Tube 6
5,ADC5-S3,PC3544M4,SP5,192.168.2.123,4,,256,Tube: E2-PACK 2 Tube 7
5,ADC5-S3,PC3544M4,SP5,192.168.2.123,5,,256,Tube: E2-PACK 2 Tube 8
6,ADC6-S0,PC3544M4,SP6,192.168.2.124,0,,256,Tube: B1-PACK 1 Tube 1
6,ADC6-S0,PC3544M4,SP6,192.168.2.124,1,,256,Tube: B1-PACK 1 Tube 5
6,ADC6-S0,PC3544M4,SP6,192.168.2.124,2,,256,Tube: B1-PACK 1 Tube 3
6,ADC6-S0,PC3544M4,SP6,192.168.2.124,3,,256,Tube: B1-PACK 1 Tube 4
6,ADC6-S0,PC3544M4,SP6,192.168.2.124,4,,256,Tube: B1-PACK 1 Tube 5
6,ADC6-S0,PC3544M4,SP6,192.168.2.124,5,,256,Tube: B1-PACK 1 Tube 6
6,ADC6-S1,PC3544M4,SP6,192.168.2.125,0,,256,Tube: B1-PACK 1 Tube 7
6,ADC6-S1,PC3544M4,SP6,192.168.2.125,1,,256,Tube: B1-PACK 1 Tube 8
6,ADC6-S1,PC3544M4,SP6,192.168.2.125,2,,256,Tube: B1-PACK 2 Tube 1
6,ADC6-S1,PC3544M4,SP6,192.168.2.125,3,,256,Tube: B1-PACK 2 Tube 2
6,ADC6-S1,PC3544M4,SP6,192.168.2.125,4,,256,Tube: B1-PACK 2 Tube 3
6,ADC6-S1,PC3544M4,SP6,192.168.2.125,5,,256,Tube: B1-PACK 2 Tube 4
6,ADC6-S2,PC3544M4,SP6,192.168.2.126,0,,256,Tube: B1-PACK 2 Tube 5
6,ADC6-S2,PC3544M4,SP6,192.168.2.126,1,,256,Tube: B1-PACK 2 Tube 6
6,ADC6-S2,PC3544M4,SP6,192.168.2.126,2,,256,Tube: B1-PACK 2 Tube 7
